Reference, Value, Footprint, Datasheet
U2,LD1117DT33,AB1lib:DPAK,
U1,LT1617,Housings_SOT-23_SOT-143_TSOT-6:SOT-23-5,
CON1,Power In,Connect:JACK_ALIM,
C3,10u,Capacitors_SMD:C_0805_HandSoldering,
C5,10u,Capacitors_SMD:C_0805_HandSoldering,
C1,4.7u,Capacitors_SMD:C_1206_HandSoldering,
C2,0.47u,Capacitors_SMD:C_0805_HandSoldering,
C4,100p,Capacitors_SMD:C_0805_HandSoldering,
C6,10u,Capacitors_SMD:C_1206_HandSoldering,
R1,470,Resistors_SMD:R_0805_HandSoldering,
R2,330,Resistors_SMD:R_0805_HandSoldering,
R3,470,Resistors_SMD:R_0805_HandSoldering,
D1,5V,Capacitors_SMD:C_0805_HandSoldering,
D2,3.3V,Capacitors_SMD:C_0805_HandSoldering,
D3,-5V,Capacitors_SMD:C_0805_HandSoldering,
D4,20V,Diodes_SMD:SOD-123,
L1,10u,Capacitors_SMD:C_0805_HandSoldering,
P2,Power Out,Pin_Headers:Pin_Header_Straight_2x04,
P1,Power Out,AB1lib:4pinTerminal,
R5,24.9,Resistors_SMD:R_0805_HandSoldering,
R4,73.2,Resistors_SMD:R_0805_HandSoldering,
L2,10u,Capacitors_SMD:C_0805_HandSoldering,
SW1,Power,AB1lib:PVA2EE,
C7,0.1u,Capacitors_SMD:C_0805_HandSoldering,
